prefix,a,,,,
left,right,L,R,h,E
1,0,4,1.45,0.163,4
2,0,2,1.12,0.132,4
5,0,3.9,1.07,0.127,4
11,0,5.2,1,0.12,4
21,0,5.2,0.95,0.116,4
34,0,5.2,0.95,0.116,4
50,0,5.3,0.87,0.108,4
65,0,5.3,0.57,0.08,4
75,0,5.3,0.57,0.08,4
49,0,1,0.39,0.064,4
61,0,7.1,0.18,0.045,4
62,0,6.3,0.28,0.054,4
63,0,6.6,0.22,0.049,4
64,0,3.2,0.26,0.053,4
66,0,5.9,0.43,0.069,4
67,0,3.2,0.26,0.053,4
83,0,5,0.16,0.043,4
4,0,8.9,0.37,0.063,4
10,0,8.9,0.37,0.063,4
20,0,3.1,0.37,0.063,4
12,0,8.9,0.37,0.063,4
22,0,8.9,0.37,0.063,4
3,0,3.4,0.42,0.067,4
6,0,3.4,0.62,0.086,4
82,84,5.8,0.52,0.076,4
89,92,8.3,0.29,0.055,4
90,91,5,0.2,0.04,16
98,99,6.1,0.27,0.053,4
104,107,12.7,0.24,0.05,8
105,106,12.6,0.23,0.049,16
109,110,12.7,0.24,0.05,8
111,112,9.4,0.2,0.047,8
113,114,9.4,0.2,0.05,4
115,118,2.5,0.13,0.039,16
119,124,15,0.1,0.02,16
125,128,15,0.1,0.02,16
116,117,16.1,0.18,0.045,16
121,122,16.1,0.18,0.045,16
120,123,15.9,0.13,0.039,16
126,127,15.9,0.13,0.019,16
31,37,5.9,0.18,0.045,8
32,36,11.8,0.15,0.042,8
33,35,4,0.07,0.02,8
43,56,3,0.1,0.03,8
44,55,5.9,0.13,0.039,8
45,54,4,0.1,0.03,16
46,53,3,0.06,0.02,16
47,52,5.9,0.08,0.026,16
48,51,3,0.07,0.02,16
60,68,5.9,0.08,0.026,16
73,77,4,0.06,0.02,16
74,76,5,0.07,0.02,16
7,15,15,0.1,0.03,8
8,14,6.8,0.4,0.066,4
9,13,14.8,0.19,0.045,8
16,26,5,0.1,0.03,8
17,25,6.1,0.36,0.062,4
18,24,10,0.2,0.052,8
19,23,5,0.1,0.03,8
27,41,3,0.15,0.035,16
28,40,5.6,0.31,0.057,4
29,39,5,0.1,0.03,16
30,38,8,0.15,0.035,16
42,57,63,0.28,0.055,4
58,70,15,0.15,0.035,8
59,69,6.3,0.26,0.053,4
71,79,6.3,0.25,0.052,4
72,78,5,0.07,0.02,16
80,86,5,0.06,0.02,16
81,85,4.6,0.24,0.05,4
87,94,6.7,0.21,0.049,8
88,93,11.7,0.16,0.043,8
95,102,8.5,0.19,0.462,8
96,101,7.9,0.09,0.028,16
97,100,11.7,0.16,0.043,8
103,108,8.5,0.19,0.046,8
